id,title,description
AS1_dvdrental_public_actor,actor,actor
AS1_dvdrental_public_store,store,store
AS1_dvdrental_public_address,address,address
AS1_dvdrental_public_category,category,category
AS1_dvdrental_public_city,city,city
AS1_dvdrental_public_country,country,country
AS1_dvdrental_public_customer,customer,customer
AS1_dvdrental_public_film_actor,film_actor,film_actor
AS1_dvdrental_public_film_category,film_category,film_category
AS1_dvdrental_public_inventory,inventory,inventory
AS1_dvdrental_public_language,language,language
AS1_dvdrental_public_rental,rental,rental
AS1_dvdrental_public_staff,staff,staff
AS1_dvdrental_public_payment,payment,payment
AS1_dvdrental_public_film,film,film
AS2_flights_bookings_ticket_flights,ticket_flights,ticket_flights
AS2_flights_bookings_boarding_passes,boarding_passes,boarding_passes
AS2_flights_bookings_aircrafts,aircrafts,aircrafts
AS2_flights_bookings_flights,flights,flights
AS2_flights_bookings_airports,airports,airports
AS2_flights_bookings_seats,seats,seats
AS2_flights_bookings_tickets,tickets,tickets
AS2_flights_bookings_bookings,bookings,bookings
