id,title,description,master_system,business_objects
AS1_dvdrental_public_actor,actor,,AS1,AS1_dvdrental_public_actor
AS1_dvdrental_public_actor_info,actor_info,,AS1,AS1_dvdrental_public_actor_info
AS1_dvdrental_public_customer_list,customer_list,,AS1,AS1_dvdrental_public_customer_list
AS1_dvdrental_public_film_list,film_list,,AS1,AS1_dvdrental_public_film_list
AS1_dvdrental_public_nicer_but_slower_film_list,nicer_but_slower_film_list,,AS1,AS1_dvdrental_public_nicer_but_slower_film_list
AS1_dvdrental_public_sales_by_film_category,sales_by_film_category,,AS1,AS1_dvdrental_public_sales_by_film_category
AS1_dvdrental_public_store,store,,AS1,AS1_dvdrental_public_store
AS1_dvdrental_public_sales_by_store,sales_by_store,,AS1,AS1_dvdrental_public_sales_by_store
AS1_dvdrental_public_staff_list,staff_list,,AS1,AS1_dvdrental_public_staff_list
AS1_dvdrental_public_address,address,,AS1,AS1_dvdrental_public_address
AS1_dvdrental_public_category,category,,AS1,AS1_dvdrental_public_category
AS1_dvdrental_public_city,city,,AS1,AS1_dvdrental_public_city
AS1_dvdrental_public_country,country,,AS1,AS1_dvdrental_public_country
AS1_dvdrental_public_customer,customer,,AS1,AS1_dvdrental_public_customer
AS1_dvdrental_public_film_actor,film_actor,,AS1,AS1_dvdrental_public_film_actor
AS1_dvdrental_public_film_category,film_category,,AS1,AS1_dvdrental_public_film_category
AS1_dvdrental_public_inventory,inventory,,AS1,AS1_dvdrental_public_inventory
AS1_dvdrental_public_language,language,,AS1,AS1_dvdrental_public_language
AS1_dvdrental_public_rental,rental,,AS1,AS1_dvdrental_public_rental
AS1_dvdrental_public_staff,staff,,AS1,AS1_dvdrental_public_staff
AS1_dvdrental_public_payment,payment,,AS1,AS1_dvdrental_public_payment
AS1_dvdrental_public_film,film,,AS1,AS1_dvdrental_public_film
AS2_flights_bookings_flights_v,flights_v,Рейсы,AS2,AS2_flights_bookings_flights_v
AS2_flights_bookings_ticket_flights,ticket_flights,Перелеты,AS2,AS2_flights_bookings_ticket_flights
AS2_flights_bookings_boarding_passes,boarding_passes,Посадочные талоны,AS2,AS2_flights_bookings_boarding_passes
AS2_flights_bookings_aircrafts,aircrafts,Самолеты,AS2,AS2_flights_bookings_aircrafts
AS2_flights_bookings_flights,flights,Рейсы,AS2,AS2_flights_bookings_flights
AS2_flights_bookings_airports,airports,Аэропорты,AS2,AS2_flights_bookings_airports
AS2_flights_bookings_seats,seats,Места,AS2,AS2_flights_bookings_seats
AS2_flights_bookings_tickets,tickets,Билеты,AS2,AS2_flights_bookings_tickets
AS2_flights_bookings_bookings,bookings,Бронирования,AS2,AS2_flights_bookings_bookings
AS3_Adventureworks_person_addresstype,addresstype,Types of addresses stored in the Address table.,AS3,AS3_Adventureworks_person_addresstype
AS3_Adventureworks_person_businessentity,businessentity,"Source of the ID that connects vendors, customers, and employees with address and contact information.",AS3,AS3_Adventureworks_person_businessentity
AS3_Adventureworks_person_address,address,"Street address information for customers, employees, and vendors.",AS3,AS3_Adventureworks_person_address
AS3_Adventureworks_person_businessentityaddress,businessentityaddress,"Cross-reference table mapping customers, vendors, and employees to their addresses.",AS3,AS3_Adventureworks_person_businessentityaddress
AS3_Adventureworks_person_person,person,"Human beings involved with AdventureWorks: employees, customer contacts, and vendor contacts.",AS3,AS3_Adventureworks_person_person
AS3_Adventureworks_person_businessentitycontact,businessentitycontact,"Cross-reference table mapping stores, vendors, and employees to people",AS3,AS3_Adventureworks_person_businessentitycontact
